H,D,R
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,4
0,0,6
0,0,11
0,0,23
0,0,36
0,0,65
0,0,105
0,0,155
0,0,286
0,0,426
0,0,591
1,0,852
3,0,1227
1,0,1671
8,0,2210
20,0,2908
23,0,3722
36,0,4678
46,0,5843
63,1,7182
70,2,8803
90,4,10694
100,5,12783
132,6,15116
140,8,17692
146,8,20403
157,11,23221
189,17,26273
198,23,29473
202,31,32776
206,33,36379
232,43,39857
236,52,43381
245,60,46967
258,75,50698
255,90,54289
279,97,57855
289,108,61462
272,119,64854
291,129,68033
280,144,71344
274,159,74404
241,170,77365
236,184,80025
209,194,82698
197,203,85190
203,213,87393
191,220,89385
182,228,91366
170,234,93139
173,243,94679
142,249,96193
123,256,97575
127,262,98820
108,270,99959
95,274,101091
88,280,102095
76,285,102999
71,288,103911
59,290,104631
51,292,105274
50,296,105913
55,301,106428
47,308,106934
44,312,107454
43,316,107920
48,317,108352
47,318,108759
42,322,109079
42,324,109381
39,324,109659
35,326,109898
35,330,110142
39,330,110382
37,330,110585
23,333,110769
28,333,110949
34,336,111128
25,338,111289
20,340,111405
19,340,111519
25,341,111631
23,341,111701
19,341,111787
19,341,111879
15,342,111958
13,342,112020
12,345,112098
12,345,112134
10,345,112180
9,345,112242
7,345,112280
7,345,112322
6,345,112370
2,345,112403
1,345,112433
3,345,112464
4,345,112487
6,345,112515
8,345,112538
7,345,112561
4,345,112575
5,345,112596
5,345,112600
7,345,112607
7,345,112624
8,345,112632
7,345,112644
7,345,112656
4,345,112664
4,345,112670
6,345,112678
2,346,112687
1,347,112691
2,347,112691
1,347,112696
0,347,112701
0,347,112703
0,347,112705
0,347,112713
0,347,112718
0,347,112718
0,347,112722
0,347,112723
0,347,112725
0,347,112728
1,347,112728
1,347,112729
1,347,112732
2,347,112732
3,347,112735
2,348,112737
1,348,112739
1,348,112740
1,348,112740
2,348,112740
2,348,112741
2,348,112741
2,348,112741
2,348,112741
2,348,112741
1,348,112742
1,348,112742
1,348,112742
1,348,112742
0,348,112743
0,348,112744
0,348,112744
0,348,112744
0,348,112744
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
0,348,112745
