Susceptible,Exposed,Hospitalised,Death,Recovered
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113075,18,0,0,0
112916,177,0,0,0
112707,375,0,0,0
112399,651,0,0,2
111832,1161,0,0,8
111165,1724,0,0,18
110191,2534,0,0,38
108734,3799,0,0,73
106883,5334,0,0,118
104786,6956,0,0,192
102195,8935,0,0,304
98910,11556,0,0,457
94999,14461,1,0,629
90176,18023,3,0,892
84515,22133,5,0,1228
78397,26288,7,0,1655
71765,30609,6,0,2213
64748,34987,7,0,2948
57206,39503,16,1,3775
49609,43687,27,2,4825
42171,47424,29,3,6040
34752,50710,47,5,7514
27692,53444,60,9,9203
21130,55322,69,12,11082
15735,56047,99,15,13150
11389,55487,135,20,15496
7962,54083,148,22,17985
5483,52001,152,25,20757
3667,49225,158,29,23769
2374,46309,167,31,26926
1517,43162,188,36,30117
956,40057,208,44,33693
544,36971,228,55,36959
317,33971,240,64,40408
200,31198,264,75,43938
111,28519,271,81,47581
59,26084,262,94,51261
34,23865,282,110,54795
23,21819,282,132,58398
13,19967,300,148,61927
8,18288,308,158,65322
4,16743,293,174,68475
3,15356,283,185,71578
3,13984,276,198,74583
0,12776,254,211,77316
0,11714,250,222,79995
0,10772,247,232,82561
0,9758,225,246,84900
0,8911,206,255,87085
0,8119,202,261,89192
0,7409,190,269,91138
0,6745,176,277,92842
0,6173,167,285,94501
0,5646,158,297,96003
0,5165,146,302,97414
0,4740,123,305,98648
0,4330,115,312,99866
0,3944,115,317,100921
0,3585,111,322,101930
0,3277,94,323,102844
0,2978,97,326,103689
0,2740,92,329,104450
0,2503,87,333,105195
0,2299,80,335,105903
0,2128,76,338,106472
0,1951,82,342,107008
0,1782,70,345,107488
0,1615,61,348,107964
0,1463,59,349,108366
0,1320,58,349,108735
0,1219,56,350,109112
0,1116,47,351,109456
0,1024,42,353,109756
0,927,34,355,109968
0,838,36,356,110220
0,766,35,357,110432
0,714,29,358,110613
0,643,26,358,110797
0,577,27,358,110949
0,540,24,358,111130
0,482,27,360,111254
0,448,26,360,111365
0,411,20,361,111475
0,379,12,362,111585
0,358,16,362,111666
0,327,14,362,111751
0,302,15,362,111824
0,280,12,364,111890
0,262,12,364,111958
0,240,12,364,112019
0,218,11,364,112083
0,197,10,364,112145
0,183,12,364,112199
0,168,8,364,112258
0,155,5,364,112291
0,145,4,364,112326
0,138,8,364,112355
0,131,6,364,112387
0,121,4,364,112411
0,110,4,364,112438
0,101,5,364,112457
0,94,8,364,112484
0,85,8,364,112505
0,77,6,365,112521
0,69,7,366,112546
0,63,8,366,112561
0,60,10,366,112575
0,58,6,367,112583
0,55,8,367,112598
0,50,4,367,112607
0,48,4,367,112614
0,44,4,367,112620
0,40,5,367,112623
0,38,5,367,112629
0,35,3,368,112636
0,31,3,368,112641
0,30,1,369,112645
0,28,0,369,112652
0,27,0,369,112660
0,25,0,369,112666
0,22,0,369,112671
0,21,0,369,112672
0,19,0,369,112676
0,18,0,369,112679
0,17,1,369,112680
0,15,1,369,112682
0,13,0,369,112687
0,11,0,369,112693
0,10,0,369,112698
0,9,0,369,112700
0,9,0,369,112700
0,8,0,369,112702
0,7,0,369,112702
0,7,0,369,112705
0,6,1,369,112706
0,6,1,369,112706
0,6,1,369,112707
0,5,1,369,112708
0,5,0,369,112710
0,3,1,369,112710
0,3,1,369,112712
0,2,1,369,112712
0,2,1,369,112712
0,2,0,369,112715
0,2,0,369,112715
0,2,0,369,112715
0,2,0,369,112716
0,2,0,369,112716
0,2,0,369,112716
0,2,0,369,112716
0,2,0,369,112716
0,2,1,369,112718
0,2,1,369,112719
0,2,1,369,112719
0,2,0,369,112721
0,2,1,369,112721
0,2,0,369,112722
0,2,0,369,112722
0,2,0,369,112722
0,2,0,369,112722
0,2,0,369,112722
0,2,0,369,112722
0,2,0,369,112722
0,1,0,369,112722
0,1,0,369,112722
0,1,0,369,112722
0,1,0,369,112722
0,1,0,369,112722
0,1,0,369,112722
0,1,0,369,112722
0,1,0,369,112722
0,1,0,369,112722
0,1,0,369,112722
0,0,0,369,112722
0,0,0,369,112722
0,0,0,369,112722
0,0,0,369,112722
0,0,0,369,112722
0,0,0,369,112722
0,0,0,369,112722
0,0,0,369,112722
0,0,0,369,112723
0,0,0,369,112723
0,0,0,369,112723
0,0,0,369,112723
0,0,0,369,112723
0,0,0,369,112723
0,0,0,369,112723
0,0,0,369,112723
0,0,0,369,112723
