day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,637736.8666666667,637676.0,637795.0,482.28,427.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.626666666666665,34.0,72.0,0.0,0.0,0.0
1,637063.92,636978.0,637145.0,1027.6266666666668,944.0,1121.0,0.0,0.0,0.0,8.933333333333334,2.0,17.0,0.0,0.0,0.0,146.89333333333335,115.0,175.0,8.906666666666666,1.0,15.0
2,636192.32,636061.0,636313.0,1702.96,1579.0,1791.0,0.0,0.0,0.0,32.986666666666665,18.0,48.0,0.0,0.0,0.0,279.74666666666667,248.0,325.0,29.066666666666666,17.0,46.0
3,635056.0133333333,634895.0,635225.0,2557.04,2427.0,2682.0,0.0,0.0,0.0,79.09333333333333,61.0,105.0,0.0,0.0,0.0,460.46666666666664,420.0,508.0,63.21333333333333,37.0,86.0
4,633572.1733333333,633351.0,633775.0,3655.96,3479.0,3806.0,0.0,0.0,0.0,156.52,129.0,195.0,0.0,0.0,0.0,691.08,630.0,769.0,110.76,84.0,141.0
5,631645.3333333334,631336.0,631944.0,5059.706666666667,4825.0,5297.0,0.18666666666666668,0.0,2.0,271.0933333333333,230.0,323.0,0.0,0.0,0.0,996.5733333333334,912.0,1119.0,178.4,147.0,212.0
6,629166.12,628858.0,629510.0,6843.346666666666,6598.0,7091.0,1.2133333333333334,0.0,4.0,440.36,395.0,514.0,0.0,0.0,0.0,1392.1066666666666,1303.0,1546.0,262.6666666666667,214.0,324.0
7,625964.3333333334,625590.0,626421.0,9133.853333333333,8791.0,9422.0,2.88,0.0,9.0,683.9066666666666,624.0,771.0,0.0,0.0,0.0,1892.3733333333332,1779.0,2036.0,370.17333333333335,323.0,426.0
8,621880.0266666666,621451.0,622573.0,12013.52,11444.0,12340.0,5.933333333333334,1.0,19.0,1018.4,923.0,1104.0,0.0,0.0,0.0,2546.6666666666665,2432.0,2689.0,507.3466666666667,454.0,558.0
9,616672.0666666667,616117.0,617480.0,15664.306666666667,15065.0,16111.0,10.346666666666666,4.0,28.0,1474.9866666666667,1369.0,1597.0,0.0,0.0,0.0,3371.52,3199.0,3546.0,676.4266666666666,620.0,778.0
10,610051.08,609172.0,611023.0,20266.64,19530.0,20851.0,16.44,5.0,31.0,2083.4666666666667,1939.0,2230.0,0.013333333333333334,0.0,1.0,4434.986666666667,4257.0,4656.0,901.2266666666667,819.0,1002.0
11,601687.12,600698.0,602794.0,26053.173333333332,25201.0,26712.0,25.893333333333334,14.0,40.0,2887.9066666666668,2693.0,3043.0,0.05333333333333334,0.0,1.0,5772.106666666667,5547.0,5974.0,1178.2266666666667,1086.0,1283.0
