 day, S, E, H, R, D
0,600655.333,335.459,0.0,0.0,0.0
1,600211.137,650.126,0.0,0.743,0.0
2,599700.786,975.591,0.0,2.779,0.0
3,599094.517,1340.326,0.0,6.675,0.0
4,598360.597,1766.882,0.0,12.864,0.0
5,597462.927,2283.961,0.011,22.01,0.0
6,596355.233,2919.619,0.091,34.99,0.0
7,594980.006,3712.069,0.352,53.354,0.002
8,593261.777,4708.315,0.937,78.164,0.005
9,591102.835,5971.968,2.005,111.663,0.01
10,588383.976,7572.867,3.847,157.11,0.029
11,584947.324,9610.129,6.763,217.274,0.057
12,580599.763,12202.267,11.283,296.357,0.102
13,575098.65,15494.319,17.623,399.152,0.18
14,568144.206,19663.018,26.243,532.794,0.291
15,559376.91,24912.574,37.497,704.226,0.484
16,548363.221,31485.428,52.144,924.112,0.798
17,534603.054,39655.425,70.945,1205.426,1.265
18,517573.23,49670.38,94.65,1562.023,1.948
19,496713.115,61754.447,123.863,2014.627,2.945
20,471497.594,76081.431,160.233,2586.409,4.348
21,441585.91,92591.447,204.706,3305.732,6.483
22,406890.694,110990.869,257.78,4210.872,9.709
23,379632.855,118771.522,320.693,5343.709,14.427
24,348827.53,128741.16,395.113,6755.6,21.489
25,316042.724,138939.103,480.204,8482.136,31.958
26,282551.951,148057.53,574.963,10572.531,47.454
27,249381.827,155254.708,675.676,13081.56,69.743
28,217436.946,159970.214,777.7,16076.182,102.044
29,187390.609,161952.03,876.633,19622.8,147.958
30,159727.717,161200.755,963.904,23795.032,210.355
31,134821.659,157829.767,1034.012,28657.919,293.457
32,112803.157,152162.059,1084.275,34266.946,398.824
33,93696.926,144572.116,1117.298,40653.481,529.339
34,77368.093,135533.983,1137.464,47859.711,686.204
35,63615.329,125517.282,1149.65,55910.233,869.336
36,52171.418,114932.711,1159.884,64796.751,1079.664
37,42741.476,104205.482,1169.276,74530.986,1317.726
38,35026.788,93638.63,1177.709,85086.992,1583.09
39,28750.369,83491.739,1185.423,96437.249,1876.314
40,23671.367,73922.116,1193.484,108544.755,2196.126
41,19568.383,65061.808,1202.476,121335.182,2541.188
42,16255.566,56963.389,1210.466,134751.829,2910.363
43,13580.999,49647.377,1218.941,148709.805,3299.93
44,11412.097,43101.891,1228.224,163128.465,3707.132
45,9653.716,37297.166,1236.993,177906.547,4129.814
46,8221.678,32180.897,1245.492,192949.585,4564.18
47,7050.626,27710.51,1253.974,208172.814,5007.151
48,6091.757,23809.494,1263.368,223464.994,5454.73
49,5300.962,20425.773,1272.15,238736.676,5905.287
50,4643.439,17499.238,1281.818,253913.183,6354.837
51,4095.448,14973.252,1289.915,268909.424,6800.975
52,3636.729,12805.725,1298.094,283673.149,7242.106
53,3249.75,10944.99,1306.37,298129.916,7674.177
54,2924.141,9349.76,1314.965,312226.15,8095.822
55,2645.719,7985.41,1322.562,325923.271,8505.472
56,2408.336,6822.354,1329.843,339178.553,8902.526
57,2204.905,5827.783,1337.822,351970.595,9285.365
58,2028.691,4983.016,1345.429,364289.216,9652.703
59,1875.542,4263.352,1352.272,376101.394,10005.396
60,1741.9,3650.337,1358.41,387406.445,10341.107
61,1625.246,3126.895,1364.787,398211.477,10661.226
62,1522.652,2681.367,1371.306,408501.02,10965.259
63,1432.137,2300.792,1376.34,418297.188,11253.719
64,1352.518,1976.477,1381.809,427603.351,11527.124
65,1281.506,1701.191,1386.694,436430.344,11784.585
66,1218.498,1466.901,1390.866,444796.645,12027.48
67,1162.136,1265.667,1394.869,452710.443,12257.09
68,1111.472,1094.423,1398.236,460186.218,12471.411
69,1066.163,947.599,1401.089,467248.283,12674.765
70,1025.247,822.665,1403.488,473913.036,12863.507
71,988.163,715.409,1405.163,480198.262,13041.593
72,954.128,624.155,1406.775,486120.181,13207.313
73,923.577,544.772,1408.029,491698.897,13362.012
74,896.168,476.926,1408.429,496955.141,13507.584
75,870.604,418.821,1408.027,501901.103,13643.89
76,847.295,368.669,1407.71,506557.784,13770.747
77,826.292,325.175,1406.041,510938.586,13889.094
78,806.651,287.741,1403.905,515054.436,14000.07
79,788.553,255.693,1401.698,518927.475,14102.637
80,771.985,227.506,1398.965,522569.704,14198.073
81,756.952,202.987,1395.759,525993.843,14287.758
82,742.951,181.196,1391.862,529214.517,14371.631
83,729.896,162.338,1387.294,532239.463,14449.412
84,717.979,145.787,1381.927,535089.326,14521.667
85,706.597,131.646,1375.977,537767.41,14589.068
86,696.172,119.026,1369.826,540291.454,14652.389
87,686.57,107.682,1363.091,542666.661,14711.119
88,677.471,97.855,1355.856,544897.587,14765.819
89,669.188,89.083,1347.593,546997.163,14816.676
90,661.368,81.298,1339.285,548975.367,14863.964
91,654.059,74.464,1329.913,550838.091,14908.454
92,647.245,68.054,1320.412,552597.107,14949.914
93,640.907,62.494,1310.256,554250.217,14988.671
94,635.043,57.557,1299.864,555807.759,15024.571
95,629.515,53.024,1289.114,557275.942,15058.434
96,624.316,48.984,1277.243,558664.472,15089.963
97,619.304,45.263,1265.184,559970.622,15119.232
98,614.674,42.059,1252.539,561202.421,15146.813
99,610.442,38.887,1239.316,562367.907,15172.753
100,606.389,36.007,1226.109,563466.197,15196.736
101,602.549,33.384,1212.195,564504.211,15219.787
102,598.968,31.048,1197.752,565484.659,15240.955
103,595.605,28.967,1182.544,566411.776,15261.256
104,592.396,27.089,1167.692,567286.447,15280.088
105,589.395,25.389,1152.083,568115.909,15298.147
106,586.544,23.799,1135.811,568902.228,15314.858
107,583.856,22.295,1119.71,569647.047,15330.716
108,581.35,20.813,1102.718,570351.026,15345.77
109,578.916,19.607,1086.024,571019.089,15359.71
110,576.682,18.272,1069.16,571650.475,15373.112
111,574.465,17.333,1051.363,572250.277,15385.812
112,572.403,16.355,1034.13,572820.122,15397.674
113,570.443,15.487,1016.527,573361.239,15409.201
114,568.658,14.522,998.948,573873.369,15419.916
115,566.961,13.648,981.021,574360.491,15430.228
116,565.318,12.775,963.465,574823.506,15439.957
117,563.774,12.053,945.469,575263.214,15449.364
118,562.361,11.402,927.538,575681.794,15458.257
119,560.903,10.837,909.315,576079.409,15466.721
120,559.576,10.311,891.254,576457.372,15474.899
121,558.362,9.628,873.365,576818.688,15482.613
122,557.167,9.145,855.504,577161.367,15489.932
123,556.061,8.668,837.574,577488.133,15497.059
124,554.932,8.291,819.869,577800.328,15503.853
