umap-2d-one,umap-2d-two,y_sub
-5.22351,2.7596374,0.0
-5.5023355,2.569296,0.0
-5.8156786,2.1598861,0.0
-4.7930365,3.6489754,0.0
-5.5912013,2.423902,0.0
-5.1155453,3.0574367,0.0
-5.051477,3.0949974,0.0
-5.0835266,3.2010536,0.0
-4.8134522,3.6424873,0.0
-4.793378,3.658404,0.0
-5.8463454,2.1304517,0.0
-5.615585,2.440173,0.0
-5.2916293,2.6604395,0.0
-5.030129,3.1633363,0.0
-5.7789035,2.1999302,0.0
-5.466233,2.6788013,0.0
-5.4210963,2.6589663,0.0
-5.5391703,2.4389968,0.0
-5.1094923,3.1937578,0.0
-5.4191027,2.6717782,0.0
-5.79165,2.1890628,0.0
-5.3322616,2.836625,0.0
-5.5701375,2.398443,0.0
-5.7079487,2.287801,0.0
-5.8683033,2.0967944,0.0
-4.814382,3.6450036,0.0
-5.839659,2.1366882,0.0
-5.7047505,2.268037,0.0
-5.743417,2.2457738,0.0
-5.701359,2.301291,0.0
-5.7513967,2.2235281,0.0
-5.632313,2.4170394,0.0
-5.269195,2.635544,0.0
-4.993975,3.3316169,0.0
-5.7183185,2.2668047,0.0
-5.345721,2.8322008,0.0
-4.8149433,3.6074986,0.0
-4.7949824,3.6675892,0.0
-5.417954,2.4720008,0.0
-5.2040687,2.7831907,0.0
-5.102538,3.2428105,0.0
-4.9409184,3.388056,0.0
-5.0659237,3.1017094,0.0
-5.635375,2.3344064,0.0
-4.810367,3.6472025,0.0
-5.2959733,2.6874723,0.0
-5.8103456,2.1716344,0.0
-5.179553,2.8703635,0.0
-5.0232987,3.196669,0.0
-5.2984967,2.9605732,0.0
-5.60228,2.4055521,0.0
-5.608054,2.4706078,0.0
-5.4581738,2.5623255,0.0
-5.054946,3.1465118,0.0
-5.1071486,3.2188272,0.0
-4.8587427,3.5475,0.0
-5.5352635,2.4102395,0.0
-5.1876493,3.1245406,0.0
-5.199137,2.8476162,0.0
-5.3932395,2.7220385,0.0
-5.6630826,2.3054035,0.0
-4.9214087,3.3973217,0.0
-5.1967406,2.7418098,0.0
-5.374735,2.8636816,0.0
-5.1440105,3.1843204,0.0
-5.51019,2.4896896,0.0
-5.216086,2.9089143,0.0
-5.803834,2.1737518,0.0
-5.140748,3.171501,0.0
-5.830117,2.145855,0.0
-5.0328264,3.1949766,0.0
-5.8331575,2.141326,0.0
-5.32236,2.826951,0.0
-5.1637874,2.9862237,0.0
-5.311755,2.619057,0.0
-5.505073,2.462623,0.0
-5.7175927,2.283234,0.0
-5.0687833,3.208949,0.0
-5.5939984,2.369704,0.0
-5.424122,2.5120568,0.0
-5.0080566,3.3249362,0.0
-5.7601447,2.2106671,0.0
-5.3631935,2.5876744,0.0
-5.543142,2.442391,0.0
-5.4005885,2.5180829,0.0
-4.989663,3.2067122,0.0
-5.686972,2.282204,0.0
-5.550981,2.5489786,0.0
-5.7011604,2.288669,0.0
-5.2365003,3.053277,0.0
-5.3359017,2.8725512,0.0
-5.8406463,2.1351206,0.0
-5.5951333,2.4372098,0.0
-5.3241053,2.9419963,0.0
-5.163235,2.8178916,0.0
-5.140066,2.9628341,0.0
-5.527894,2.6288526,0.0
-4.9600787,3.3325849,0.0
-5.283367,2.7078135,0.0
-4.925936,3.4178636,0.0
-5.813318,2.1625,0.0
-5.2912917,2.616189,0.0
-5.441413,2.5983355,0.0
-5.499905,2.4572845,0.0
-4.8661323,3.525239,0.0
-5.133541,2.9567626,0.0
-4.89651,3.444824,0.0
-4.8814936,3.4619477,0.0
-5.747369,2.237455,0.0
-5.3255134,2.6421802,0.0
-4.793797,3.6404943,0.0
-5.0480685,3.112031,0.0
-5.3781757,2.5829544,0.0
-5.4971056,2.4653738,0.0
-5.7223134,2.2467916,0.0
-5.3328767,2.8525171,0.0
-4.9277606,3.4240994,0.0
-5.20274,2.7767189,0.0
-4.845494,3.5817919,0.0
-5.1292586,3.180644,0.0
-5.5049906,2.535145,0.0
-5.2321844,2.8155913,0.0
-5.274635,2.7248433,0.0
-5.29058,2.9601755,0.0
-5.69192,2.2710035,0.0
-5.1372538,3.1825626,0.0
-4.886149,3.4685333,0.0
-4.9470577,3.388799,0.0
-5.482665,2.4627795,0.0
-5.262631,2.6456375,0.0
-5.44024,2.4982731,0.0
-5.6119924,2.4078846,0.0
-4.928111,3.449595,0.0
-5.1406655,2.9389646,0.0
-4.9926844,3.3690286,0.0
-4.7968946,3.6689606,0.0
-4.8933825,3.4699433,0.0
-5.459959,2.622616,0.0
-4.79158,3.6778247,0.0
-5.0777154,3.157271,0.0
-5.8270926,2.149414,0.0
-5.2056265,2.8347638,0.0
-5.2215514,2.8267114,0.0
-5.121636,3.199346,0.0
-5.1509705,3.1745067,0.0
-5.8466673,2.1258059,0.0
-5.152849,3.127198,0.0
-5.241399,2.8974535,0.0
-4.9732127,3.3122249,0.0
-5.2565656,2.9007792,0.0
-5.050017,3.1534345,0.0
-5.135904,3.2210608,0.0
-5.3151608,2.8891156,0.0
-5.3380117,2.8895805,0.0
-4.8727794,3.501796,0.0
-5.205339,3.0955396,0.0
-5.1217327,3.137745,0.0
-5.392003,2.8095214,0.0
-5.3018985,2.624642,0.0
-4.9209156,3.4163318,0.0
-5.339005,2.6736326,0.0
-4.8079224,3.6500072,0.0
-5.53242,2.5211263,0.0
-5.4612894,2.4851358,0.0
-5.1311493,3.190054,0.0
-5.4307046,2.5276716,0.0
-5.080496,3.2539127,0.0
-4.8788943,3.5034041,0.0
-5.0450435,3.3085027,0.0
-5.6727896,2.3007898,0.0
-5.445968,2.5170636,0.0
-4.907937,3.4871361,0.0
-5.2994037,2.7970986,0.0
-5.39959,2.714365,0.0
-5.7733674,2.2059522,0.0
-5.4689693,2.5640059,0.0
-5.0450587,3.1611903,0.0
-5.237499,2.7799168,0.0
-5.31348,2.6699767,0.0
-4.7997966,3.6515927,0.0
-5.711491,2.2739537,0.0
-5.683009,2.2870407,0.0
-5.631864,2.3950632,0.0
-4.8722324,3.514546,0.0
-5.512387,2.545674,0.0
-4.990518,3.3158958,0.0
-4.808087,3.6219912,0.0
-5.150801,3.1388352,0.0
-5.0549116,3.1194336,0.0
-5.533601,2.581998,0.0
-5.4828167,2.4964921,0.0
-4.8213463,3.6252933,0.0
-5.2849565,2.7227468,0.0
-5.1230607,3.1293628,0.0
-5.226716,2.7049112,0.0
-4.789828,3.659031,0.0
-5.6798673,2.2909946,0.0
-4.827432,3.604985,0.0
-5.3832197,2.844086,0.0
-5.6542797,2.359505,0.0
-5.6616087,2.331188,0.0
-4.795302,3.6587558,0.0
-5.8457294,2.1285546,0.0
-4.986751,3.301806,0.0
-5.068509,3.0469403,0.0
-5.057823,3.2998908,0.0
-5.016486,3.3510168,0.0
-5.680127,2.3171146,0.0
-4.866372,3.50518,0.0
-4.823324,3.6207316,0.0
-5.1979775,2.8801537,0.0
-5.155571,2.8882732,0.0
-5.316987,2.6942744,0.0
-4.845906,3.5655787,0.0
-4.908683,3.2693293,0.0
-5.1519413,2.9235513,0.0
-5.352878,2.8853624,0.0
-5.893448,2.0804172,0.0
-5.1357713,3.1761308,0.0
-5.369837,2.6386638,0.0
-4.9079585,3.4463995,0.0
-5.5755286,2.407487,0.0
-5.174309,3.1374683,0.0
-5.286179,2.6845105,0.0
